"XTRCT","Rm,Rn","0010nnnnmmmm1101"
"ADD","Rm,Rn","0011nnnnmmmm1100 "
"ADD","#imm,Rn","0111nnnniiiiiiii "
"ADDC","Rm,Rn","0011nnnnmmmm1110 "
"ADDV","Rm,Rn","0011nnnnmmmm1111 "
"CMP/EQ","#imm,R0","10001000iiiiiiii "
"CMP/EQ","Rm,Rn","0011nnnnmmmm0000 "
"CMP/HS","Rm,Rn","0011nnnnmmmm0010 "
"CMP/GE","Rm,Rn","0011nnnnmmmm0011 "
"CMP/HI","Rm,Rn","0011nnnnmmmm0110 "
"CMP/GT","Rm,Rn","0011nnnnmmmm0111 "
"CMP/PL","Rnn","0100nnnn00010101 "
"CMP/PZ","Rnn","0100nnnn00010001 "
"CMP/STR ","Rm,Rn","0010nnnnmmmm1100 "
"DIV1","Rm,Rn","0011nnnnmmmm0100 "
"DIV0","SRm,Rn","0010nnnnmmmm0111 "
"DIV0U","","0000000000011001 "
"DMULS.L ","Rm,Rn*2 ","0011nnnnmmmm1101 "
"DMULU.L ","Rm,Rn*2 ","0011nnnnmmmm0101 "
"DT","Rn*2","0100nnnn00010000 "
"EXTS.B","Rm,Rn","0110nnnnmmmm1110 "
"EXTS.W","Rm,Rn","0110nnnnmmmm1111 "
"EXTU.B","Rm,Rn","0110nnnnmmmm1100 "
"EXTU.W","Rm,Rn","0110nnnnmmmm1101 "
"MAC.L","@Rm+,@Rn+*2","0000nnnnmmmm1111 "
"MAC.W","@Rm+,@Rn+","0100nnnnmmmm1111 "
"MUL.L","Rm,Rn*2","0000nnnnmmmm0111 "
"MULS.W","Rm,Rn","0010nnnnmmmm1111"
"MULU.W","Rm,Rn","0010nnnnmmmm1110 "
"NEG","Rm,Rn","0110nnnnmmmm1011 "
"NEGC","Rm,Rn","0110nnnnmmmm1010 "
"SUB","Rm,Rn","0011nnnnmmmm1000 "
"SUBC","Rm,Rn","0011nnnnmmmm1010 "
"SUBV","Rm,Rn","0011nnnnmmmm1011"
"AND","Rm,Rn","0010nnnnmmmm1001 "
"AND","#imm,R0","11001001iiiiiiii "
"AND.B","#imm,@(R0,GBR)","11001101iiiiiiii "
"NOT","Rm,Rn","0110nnnnmmmm0111 "
"OR","Rm,Rn","0010nnnnmmmm1011 "
"OR","#imm,R0","11001011iiiiiiii "
"OR.B","#imm,@(R0,GBR)","11001111iiiiiiii "
"TAS.B","@Rn","0100nnnn00011011 "
"TST","Rm,Rn","0010nnnnmmmm1000 "
"TST","#imm,R0","11001000iiiiiiii"
"TST.B","#imm,@(R0,GBR)","11001100iiiiiiii "
"XOR","Rm,Rn","0010nnnnmmmm1010 "
"XOR","#imm,R0","11001010iiiiiiii "
"XOR.B","#imm,@(R0,GBR)","11001110iiiiiiii"
"ROTL","Rn","0100nnnn00000100 "
"ROTR","Rn","0100nnnn00000101 "
"ROTCL","Rn","0100nnnn00100100 "
"ROTCR","Rn","0100nnnn00100101 "
"SHAL","Rn","0100nnnn00100000 "
"SHAR","Rn","0100nnnn00100001 "
"SHLL","Rn","0100nnnn00000000 "
"SHLR","Rn","0100nnnn00000001 "
"SHLL2","Rn","0100nnnn00001000 "
"SHLR2","Rn","0100nnnn00001001 "
"SHLL8","Rn","0100nnnn00011000 "
"SHLR8","Rn","0100nnnn00011001 "
"SHLL16","Rn","0100nnnn00101000 "
"SHLR16","Rn","0100nnnn00101001"
"BF"," label","10001011dddddddd "
"BF/S","label*2","10001111dddddddd "
"BT"," label","10001001dddddddd "
"BT/S","label*2","10001101dddddddd "
"BRA","label","1010dddddddddddd "
"BRAF","Rm*2","0000mmmm00100011 "
"BSR","label","1011dddddddddddd "
"BSRF","Rm*2","0000mmmm00000011 "
"JMP","@Rm","0100mmmm00101011 "
"JSR","@Rm","0100mmmm00001011 "
"RTS","","0000000000001011"
"CLRT","","0000000000001000 "
"CLRMAC","","0000000000101000 "
"LDC","Rm,SR","0100mmmm00001110 "
"LDC","Rm,GBR","0100mmmm00011110 "
"LDC","Rm,VBR","0100mmmm00101110 "
"LDC.L","@Rm+,SR","0100mmmm00000111 "
"LDC.L","@Rm+,GBR","0100mmmm00010111 "
"LDC.L","@Rm+,VBR","0100mmmm00100111 "
"LDS","Rm,MACH","0100mmmm00001010 "
"LDS","Rm,MACL","0100mmmm00011010 "
"LDS","Rm,PR","0100mmmm00101010 "
"LDS.L","@Rm+,MACH","0100mmmm00000110 "
"LDS.L","@Rm+,MACL","0100mmmm00010110 "
"LDS.L","@Rm+,PR","0100mmmm00100110 "
"NOP","","0000000000001001 "
"RTE","","0000000000101011 "
"SETT","","0000000000011000 "
"SLEEP","","0000000000011011 "
"STC","SR,Rn","0000nnnn00000010 "
"STC","GBR,Rn","0000nnnn00010010 "
"STC","VBR,Rn","0000nnnn00100010 "
"STC.L","SR,@–Rn","0100nnnn00000011 "
"STC.L","GBR,@–Rn","0100nnnn00010011 "
"STC.L","VBR,@–Rn","0100nnnn00100011 "
"STS","MACH,Rn","0000nnnn00001010 "
"STS","MACL,Rn","0000nnnn00011010 "
"STS","PR,Rn","0000nnnn00101010"
"STS.L","MACH,@–Rn","0100nnnn00000010 "
"STS.L","MACL,@–Rn","0100nnnn00010010 "
"STS.L","PR,@–Rn","0100nnnn00100010 "
"TRAPA","#imm","11000011iiiiiiii"
